optimization_id,node_id,product_id,date,inventory
SCIP Solver_2025-03-13_17-44-19,P1,PROD1,2025-03-13,88.86866886242751
SCIP Solver_2025-03-13_17-44-19,P1,PROD1,2025-04-12,92.4234156169241
SCIP Solver_2025-03-13_17-44-19,P1,PROD1,2025-05-12,95.9781623714207
SCIP Solver_2025-03-13_17-44-19,P1,PROD1,2025-06-11,99.53290912591729
SCIP Solver_2025-03-13_17-44-19,P1,PROD1,2025-07-11,97.75553574866899
SCIP Solver_2025-03-13_17-44-19,P1,PROD1,2025-08-10,94.2007889941724
SCIP Solver_2025-03-13_17-44-19,P1,PROD1,2025-09-09,92.4234156169241
SCIP Solver_2025-03-13_17-44-19,P1,PROD1,2025-10-09,90.64604223967581
SCIP Solver_2025-03-13_17-44-19,P1,PROD1,2025-11-08,94.2007889941724
SCIP Solver_2025-03-13_17-44-19,P1,PROD1,2025-12-08,97.75553574866899
SCIP Solver_2025-03-13_17-44-19,P1,PROD1,2026-01-07,101.3102825031674
SCIP Solver_2025-03-13_17-44-19,P1,PROD1,2026-02-06,106.64240263491229
SCIP Solver_2025-03-13_17-44-19,P1,PROD2,2025-03-13,65.67911084418847
SCIP Solver_2025-03-13_17-44-19,P1,PROD2,2025-04-12,67.86841453899433
SCIP Solver_2025-03-13_17-44-19,P1,PROD2,2025-05-12,70.057718233802
SCIP Solver_2025-03-13_17-44-19,P1,PROD2,2025-06-11,74.43632562341372
SCIP Solver_2025-03-13_17-44-19,P1,PROD2,2025-07-11,76.62562931821958
SCIP Solver_2025-03-13_17-44-19,P1,PROD2,2025-08-10,81.00423670783312
SCIP Solver_2025-03-13_17-44-19,P1,PROD2,2025-09-09,83.19354040263897
SCIP Solver_2025-03-13_17-44-19,P1,PROD2,2025-10-09,85.38284409744483
SCIP Solver_2025-03-13_17-44-19,P1,PROD2,2025-11-08,84.2881922500419
SCIP Solver_2025-03-13_17-44-19,P1,PROD2,2025-12-08,81.00423670783312
SCIP Solver_2025-03-13_17-44-19,P1,PROD2,2026-01-07,76.62562931821958
SCIP Solver_2025-03-13_17-44-19,P1,PROD2,2026-02-06,72.24702192860786
SCIP Solver_2025-03-13_17-44-19,DC1,PROD1,2025-03-13,78.05395035459514
SCIP Solver_2025-03-13_17-44-19,DC1,PROD1,2025-04-12,81.1636161425431
SCIP Solver_2025-03-13_17-44-19,DC1,PROD1,2025-05-12,84.27373385127157
SCIP Solver_2025-03-13_17-44-19,DC1,PROD1,2025-06-11,87.38425522747457
SCIP Solver_2025-03-13_17-44-19,DC1,PROD1,2025-07-11,85.82894682379629
SCIP Solver_2025-03-13_17-44-19,DC1,PROD1,2025-08-10,82.71862169257201
SCIP Solver_2025-03-13_17-44-19,DC1,PROD1,2025-09-09,81.1636161425431
SCIP Solver_2025-03-13_17-44-19,DC1,PROD1,2025-10-09,79.60872344837753
SCIP Solver_2025-03-13_17-44-19,DC1,PROD1,2025-11-08,82.71862169257201
SCIP Solver_2025-03-13_17-44-19,DC1,PROD1,2025-12-08,85.82894682379629
SCIP Solver_2025-03-13_17-44-19,DC1,PROD1,2026-01-07,88.93965405582549
SCIP Solver_2025-03-13_17-44-19,DC1,PROD1,2026-02-06,93.60634801168726
SCIP Solver_2025-03-13_17-44-19,DC1,PROD2,2025-03-13,58.04560167258569
SCIP Solver_2025-03-13_17-44-19,DC1,PROD2,2025-04-12,59.95903563707634
SCIP Solver_2025-03-13_17-44-19,DC1,PROD2,2025-05-12,61.873121144376455
SCIP Solver_2025-03-13_17-44-19,DC1,PROD2,2025-06-11,65.70301899648166
SCIP Solver_2025-03-13_17-44-19,DC1,PROD2,2025-07-11,67.61873353397641
SCIP Solver_2025-03-13_17-44-19,DC1,PROD2,2025-08-10,71.45148856098876
SCIP Solver_2025-03-13_17-44-19,DC1,PROD2,2025-09-09,73.36845978304518
SCIP Solver_2025-03-13_17-44-19,DC1,PROD2,2025-10-09,75.2857864999396
SCIP Solver_2025-03-13_17-44-19,DC1,PROD2,2025-11-08,74.32708042394552
SCIP Solver_2025-03-13_17-44-19,DC1,PROD2,2025-12-08,71.45148856098876
SCIP Solver_2025-03-13_17-44-19,DC1,PROD2,2026-01-07,67.61873353397641
SCIP Solver_2025-03-13_17-44-19,DC1,PROD2,2026-02-06,63.787799541823915
SCIP Solver_2025-03-13_17-44-19,DC2,PROD1,2025-03-13,81.45894242877057
SCIP Solver_2025-03-13_17-44-19,DC2,PROD1,2025-04-12,84.70081746716914
SCIP Solver_2025-03-13_17-44-19,DC2,PROD1,2025-05-12,87.9432881980747
SCIP Solver_2025-03-13_17-44-19,DC2,PROD1,2025-06-11,91.18629107526249
SCIP Solver_2025-03-13_17-44-19,DC2,PROD1,2025-07-11,89.5647267309505
SCIP Solver_2025-03-13_17-44-19,DC2,PROD1,2025-08-10,86.32198256621541
SCIP Solver_2025-03-13_17-44-19,DC2,PROD1,2025-09-09,84.70081746716914
SCIP Solver_2025-03-13_17-44-19,DC2,PROD1,2025-10-09,83.07980112773475
SCIP Solver_2025-03-13_17-44-19,DC2,PROD1,2025-11-08,86.32198256621541
SCIP Solver_2025-03-13_17-44-19,DC2,PROD1,2025-12-08,89.5647267309505
SCIP Solver_2025-03-13_17-44-19,DC2,PROD1,2026-01-07,92.80797463638373
SCIP Solver_2025-03-13_17-44-19,DC2,PROD1,2026-02-06,97.67368123746473
SCIP Solver_2025-03-13_17-44-19,DC2,PROD2,2025-03-13,59.918253729502794
SCIP Solver_2025-03-13_17-44-19,DC2,PROD2,2025-04-12,61.887627379260266
SCIP Solver_2025-03-13_17-44-19,DC2,PROD2,2025-05-12,63.85784740883173
SCIP Solver_2025-03-13_17-44-19,DC2,PROD2,2025-06-11,67.80053143629539
SCIP Solver_2025-03-13_17-44-19,DC2,PROD2,2025-07-11,69.77286863346671
SCIP Solver_2025-03-13_17-44-19,DC2,PROD2,2025-08-10,73.71926713678113
SCIP Solver_2025-03-13_17-44-19,DC2,PROD2,2025-09-09,75.69323855356197
SCIP Solver_2025-03-13_17-44-19,DC2,PROD2,2025-10-09,77.66767241705656
SCIP Solver_2025-03-13_17-44-19,DC2,PROD2,2025-11-08,76.68039991192654
SCIP Solver_2025-03-13_17-44-19,DC2,PROD2,2025-12-08,73.71926713678113
SCIP Solver_2025-03-13_17-44-19,DC2,PROD2,2026-01-07,69.77286863346671
